sigma,Id0,Is0,gs,cd,Corr_Vs_Vd,Corr_ER_Is,Corr_BF_Id,Multiplex_metric
469.4150109303264,238.58458880187447,956.6025765150296,3738.6050658642903,1870.746654179332,0.5754509243580737,0.6289016152428188,0.4086932544814489,0.5187974348621339
218.67403174768788,165.40751347502635,660.5923051582876,3515.770471232269,1366.476114992306,0.160131521544451,0.7168580317003187,0.3153223885095719,0.5160902101049454
633.2739309329738,530.7208788528199,712.6932230885927,546.9784722588266,1516.6385821975869,0.2462881277732807,0.6982472363978179,0.3330916422384586,0.5156694393181382
706.763840597366,293.4198988160882,673.2666673690468,1420.4722489708438,1852.6802010145336,0.411978805837424,0.5638567966200313,0.4663310979910842,0.5150939473055578
323.7446288817832,250.36826276561237,781.51036480861,2133.24921244986,2282.9599972865626,0.4202395987276438,0.6544219814550183,0.3749184806259197,0.5146702310404689
542.6542533540078,432.51173607249984,570.900252597073,3281.8665285720026,76.42211282981148,0.4601926459527637,0.1514475483697819,0.8766018708093789,0.5140247095895805
325.89004000106,292.1846011468976,844.683957796615,3807.890524869689,24.89618161894802,0.1008064795384966,0.8684978886735973,0.1578860675480586,0.5131919781108281
385.5481170745835,351.2869891865413,878.7433119652856,993.4518379320506,2396.6181474119426,0.3097430964359943,0.8506597337737591,0.1734732388298664,0.5120664863018127
328.7564546591698,397.1865754333237,858.8509006044527,2271.961186328005,1304.0160258016642,0.4742361350289454,0.3764654393867347,0.6431175164057716,0.5097914778962531
162.8245879148851,370.22033400523793,908.9653917175216,3017.7384793696992,587.1349482010124,0.1363601142917018,0.7313258163628396,0.2865287447822437,0.5089272805725417
643.3785156769256,124.23361560006092,947.4429772117288,3770.005112478189,1126.988182163071,0.4423529477078383,0.8793534865555426,0.1384494918081599,0.5089014891818513
165.6879233729299,173.29209372508953,833.1703588248126,2549.408104548917,2254.1469732174087,0.2759661010355223,0.5249130765031785,0.4906884015682804,0.5078007390357295
349.0635888648288,286.0483208156944,648.7475140199114,4188.338571674305,1444.7068850186722,0.5143025231866437,0.2739544673879349,0.7408670840124667,0.5074107757002008
861.6825889155035,457.4951016945705,918.0190106427668,3221.5747861784,260.9339661204996,0.5099202854742756,0.2623356331180758,0.7508791137569795,0.5066073734375276
187.78447897783184,300.34528284933265,769.0854424205818,1727.7958217819062,1337.8444271970664,0.165321931889691,0.6352394043521401,0.3778321228443567,0.5065357635982484
250.43400843683244,528.2661666647898,632.089687049064,308.7774455075448,1472.2263963916248,0.1338752955946947,0.7144850812749094,0.2985570790606508,0.5065210801677801
239.497365741228,322.1814732638403,770.6058923515604,567.5672787086661,1613.6373983703822,0.1400742973783633,0.7333553794122114,0.2773966720106176,0.5053760257114145
725.1257288724968,120.14795470760006,534.5366509151097,931.8282891267944,727.1426383338925,0.1931480884455217,0.8514020187866532,0.1522132953816074,0.5018076570841303
405.5765335428157,409.5773238651768,894.3821949619393,3048.5905221314906,858.3328935600654,0.5405234403737285,0.2391684015155639,0.7631470190409195,0.5011577102782417
987.1277650835076,167.43664115782707,973.179933157014,4361.860574983819,584.7657603720879,0.500779024738103,0.7159578614118332,0.2848779075227391,0.5004178844672862
541.6114281279413,331.2680692394426,798.4222137627546,4724.284351050926,568.4217270726322,0.5403971590181611,0.2439069930219998,0.755645912555421,0.4997764527887104
736.4715171726485,496.61740502069296,662.3392954796775,363.1382821572815,326.1268596879419,0.2034150476161408,0.7914161086869346,0.2077092721404813,0.499562690413708
599.3544859917636,302.10100381893704,458.0352219337548,454.347198940312,1868.550410571493,0.1891077056631093,0.6315718952389184,0.3634447800051981,0.4975083376220582
428.2104993476735,297.0889497036956,980.556428498922,1091.8490693382587,1974.851280462937,0.2931342761568933,0.8943142709548749,0.0885586097317328,0.4914364403433038
606.692000830265,132.44312310296723,448.6005826768492,2271.4091373391025,1700.1281317147923,0.3711214542828919,0.5014051202464862,0.4813190525206213,0.4913620863835538
252.98107530812865,166.66136068597842,479.95284729499787,4630.211332784037,2306.6869135963752,0.4149517257124703,0.2981046931879331,0.6831833939581016,0.4906440435730173
513.5033905271421,368.3053354785988,688.729612841915,4151.328022519036,459.4818540725559,0.5167686183085347,0.1604642978772715,0.8150157250009031,0.4877400114390873
879.6019743905723,217.43022897762089,778.7375058174418,4538.685279594792,533.9037129372715,0.5126298072163767,0.3969820347298469,0.5746555455259602,0.4858187901279036
632.8576468025082,434.5823157336245,733.622889535048,421.7114536443145,2085.9756711595123,0.2010409315415622,0.8683635000582688,0.1025290374183131,0.4854462687382909
641.6675165245466,287.5585366675871,794.3880672592645,648.6016288261299,1456.8517397566604,0.1914930906670766,0.9228385251952868,0.0474350820504307,0.4851368036228588
417.1322748539978,427.11831911162,880.4008728240686,999.3226757681678,2569.964920831409,0.3471886695239538,0.7869346524907919,0.1806788341092824,0.4838067433000371
308.1970666724464,375.1297664346559,692.3785927012443,1607.5669010703718,2362.54513846563,0.4164425795534722,0.4149349588757263,0.5523531330441128,0.4836440459599196
406.5343281881064,546.7151681837889,785.1108441447434,894.4121676021555,1761.41390100145,0.325173352337741,0.5473399426315391,0.4182768599616379,0.4828084012965885
158.9342892300823,357.89522741046216,576.1422378889797,1218.8420912699637,1760.8959876223337,0.2143117473288086,0.4382447877259017,0.5263216862828496,0.4822832370043757
221.65864682007876,376.6343807012005,904.5388160524516,1257.910765249497,2504.974095310734,0.3770568132782397,0.6802244147998752,0.2736572293935863,0.4769408220967307
270.9349759617833,440.5709659210403,577.9979782338573,975.1996695751114,1637.3472629161768,0.3124309270651204,0.3944851317223394,0.5583650816934295,0.4764251067078844
417.28599379327113,652.3708454751677,917.4308541486644,204.83808445409312,2478.1479969636043,0.1113505265715098,0.8856679745795655,0.0579728317877862,0.4718204031836758
548.0657870512675,409.45405225095305,717.8727590915321,1151.4932948851208,2270.992581630845,0.403134718704074,0.4839540458884261,0.4572333041545662,0.4705936750214962
604.2209979245358,226.0192356868156,810.2900275692251,3871.329322846637,1866.259154659644,0.5983291208095337,0.4596818083450238,0.4781120179125378,0.4688969131287808
609.4228278843032,745.9054532674269,838.2479721241212,515.7687644652764,995.4892047443242,0.2259719449832365,0.6929179812730409,0.2413049759841513,0.4671114786285961
350.78486660296875,116.06117636183625,484.89079919000096,3764.2081482398194,665.3121987501071,0.1287647739198456,0.8460199854882118,0.0871623791397246,0.4665911823139682
840.021032949422,700.0241298341406,886.710832885612,1682.1878454637697,774.7214698803529,0.5113928435498457,0.2256161712378419,0.7072760400080532,0.4664461056229476
100.60760238469612,185.61242298861012,493.34904226375966,2897.3278952727937,1839.9175852221745,0.2301525580932375,0.5405358930355832,0.3912004883086096,0.4658681906720964
696.489097224413,926.5833425553458,781.3250226048942,170.01198994867573,194.91164045464137,0.1426685245447534,0.8029875037661525,0.1272090548649712,0.4650982793155618
714.743800840674,241.24762083657083,439.95306763347,1968.9369114516187,628.3219951145286,0.3529525203016724,0.2214641354458934,0.7052309429818174,0.4633475392138554
306.91408974600245,537.8746292401152,524.6326846969437,1748.9428916084355,18.020963706864567,0.4822089953916512,0.0815692918870515,0.844294449144682,0.4629318705158668
189.7255095178159,242.7770003320348,544.5253863433965,4692.881703666348,1768.9939834739787,0.4348726334643203,0.0256202327895256,0.8969855305605356,0.4613028816750306
404.8060875416408,745.5569509136524,679.6458701042757,4.38499351281485,2617.000283055602,0.13300439824627,0.8431643805989988,0.0789727348452395,0.4610685577221192
753.6420574767186,321.55687614502835,754.7866816773967,1788.4880348044778,1828.0906039203687,0.4809641314322144,0.4679889045355236,0.4537011368171861,0.4608450206763548
765.9055055026732,665.7062700310425,966.9570574219076,865.8006285520175,1584.4741617554907,0.3133162932375748,0.7370949121699165,0.184583339763847,0.4608391259668818
542.1460855441708,216.97258685310555,824.4414550850074,1097.475484552754,2489.597300642984,0.3270143625144057,0.910135401068996,0.0103728388938514,0.4602541199814238
822.0612063193786,312.9378142672753,500.3751223201672,943.630551664178,1462.207290470407,0.3509380610709308,0.4113061611817127,0.5071558012222379,0.4592309812019753
996.0431946076118,367.2275324506178,596.4553048143193,506.2568536910733,1668.7916082535191,0.2769869338201096,0.7306231790642306,0.1851755726965445,0.4578993758803875
687.6011377187548,377.4126196876557,463.1049970249279,588.7226816803476,344.0297193538955,0.2527907389589817,0.4111120610196851,0.5001849371230898,0.4556484990713875
189.8510906446548,604.7296969971542,910.7823135672228,717.7944275929709,2955.3451625869493,0.2551567178346179,0.6992921347894963,0.2068024379628498,0.4530472863761731
604.9097183221928,125.70726182902872,821.4685209452882,1130.299077922844,1386.2471908020268,0.1950087355824367,0.911569395860004,-0.0081198112621908,0.4517247922989066
784.6890445396346,146.53492853738888,584.9474642845591,2485.3292205240564,1804.8810660191225,0.5023415905912951,0.534167360511711,0.3650380841540874,0.4496027223328992
