phi,sigma,Id0,Is0,correlation
0.5472388433179545,282.3733493018164,313.1116156727658,602.9536298237149,0.07249937639182247
0.5514768540788361,221.62822679542333,326.2939025054433,697.094520150686,0.07174674869648447
0.34106094520518293,446.3547278659734,369.17820870605317,635.0296339526567,0.07014114384829472
0.6286199957037225,115.31411569118663,300.7155659405356,698.0533482783777,0.06947290560269159
0.11205993394743696,388.5781912081013,343.8120989455364,697.0969848184632,0.06665912393250835
0.7865943397298708,398.3926408359214,349.9469713746934,686.955034552106,0.06580614684731773
0.15812975001677954,419.1602925966308,330.0366780005986,635.2721643322673,0.0639650130148161
0.9165360397342578,329.19484820711733,339.7795010656838,640.2683658885171,0.05758786218889159
0.9612878085995281,9.93724737718224,302.2281557472492,553.0644334139456,0.0563416255654256
0.04655005054864636,1.1695522026783478,355.4325281185722,591.6546052280765,0.05596000361877759
0.8373874040794539,364.5249480015411,372.0874610023238,637.2399305848517,0.05565245636099277
0.37140126230669845,437.09465666345255,307.06845934428924,566.222453550354,0.05545215030081215
0.47229894783787674,224.55079207139067,352.2780493910011,578.8386259687104,0.05427506510669398
0.8249922457032084,278.1650414148045,312.7662694827299,665.6324412833635,0.0523622621877036
0.8041254135790323,370.6062899972163,373.50217110446147,553.615051359667,0.048072811472179254
0.39325443595728815,133.48772371217564,348.8172036304851,565.9104575916186,0.047886593337854354
0.74903393604518,226.23202675858988,346.0933563130182,662.9413465790832,0.04751884056038547
0.434356168567684,82.23619575714702,325.501668498826,660.1831830634226,0.04604163110277463
0.5816315548833694,243.98677148915914,369.2894210661701,629.1226835725855,0.04425490179236909
0.04298021053397971,153.40174583153185,324.137005618946,585.2369451268803,0.04268917857435181
0.7259716961208545,390.56740347941553,368.536018402149,670.0533940614604,0.04111565467072855
0.5171230903140056,282.56393721732775,334.6468856886115,698.8758887938245,0.040444722709091975
0.22118593191906621,259.0098148712664,336.0742462434555,699.4632535528484,0.04023527143318112
0.5206548258114801,328.6353365212557,374.75567181927914,594.7554962444254,0.039634783253419494
0.9224484348879931,266.81829629168953,376.85191444094914,558.6105808107562,0.03758045571256275
0.9541065617931325,160.27138522810768,334.9688003972103,572.45190925915,0.03646950037400983
0.622850536007323,332.4782889823337,341.8537301906789,623.0451688495167,0.03248415015942015
0.22811646075421632,330.97223113624426,360.04495133917675,576.542662248321,0.030937356653116616
0.721495911803706,361.08031494202044,372.54034440021917,698.774618304655,0.029511299828278038
0.15755702567662166,435.1475306825978,330.7879119926143,591.3627894146454,0.02828728888398144
0.5971267735911134,266.3225211066139,371.8202096133439,675.4454590425225,0.026153524460865774
0.4051837313129515,440.3165771028311,365.45294745717047,583.5938507084468,0.024400041885169404
0.5630220574644961,343.4124871767275,301.0420426967973,615.6490416894027,0.020331925580640963
0.14658495452656284,359.12695371890777,366.4282783957696,657.7726675897909,0.018104269505830422
0.5842743166889954,302.02672466440345,304.0587836140724,596.5987315517579,0.017933606490963174
0.6155745334679839,356.59605404728325,314.230782802417,671.278495432311,0.016760540017400388
0.7892551015957852,132.82672921725813,378.5045817286667,663.6982009320678,0.016721061147333443
0.31072979891277774,47.58475206736292,306.48965864505055,587.0402492427683,0.015844680378966716
0.46045237932721517,442.64675139962884,322.4539335988741,646.4204116902006,0.014547217029481701
0.42242790947360465,276.85733038885894,315.2062942615336,670.2962356521707,0.013666271061559945
0.4503664569039989,336.23104427038464,325.58287870591494,668.2433160448643,0.01196623833196589
0.5848644722820129,6.466950231518914,322.0399548203901,643.1101421592335,0.009456302883517922
0.42552247362080564,326.80864065180407,301.36015230657995,624.1901604962346,0.006209693227022003
0.9535874634913353,254.1863372980597,323.74595769132327,558.0509670366044,0.005363106789151991
0.6212215818747125,325.37308106460125,313.9966813267676,608.102862351165,0.004838805502419487
0.32085673398178116,336.0102233735823,320.1825535853943,608.0446855305397,0.004145693922142697
0.46092606869527286,323.8722790347489,310.0295140772961,573.4797405014755,0.004123043702146042
0.36299328760680094,179.84706238136812,338.20773480531807,565.9240107011112,0.002788459510536799
0.0849572312381427,399.363390198371,366.1474249858949,561.4054622024582,0.0016041627135685022
0.664213060262418,400.2730825389299,309.481423441,678.9945792339861,-0.0009798780712825712
0.5286546082254608,296.2701605730899,363.02226719738337,582.786420147019,-0.0027180344198686015
0.877977438133475,353.49055011406347,350.6480337385403,563.6824128760563,-0.003629694416309901
0.37810473835597214,355.74303934713214,342.3815569674716,618.6536072638527,-0.003912774749306912
0.5299306939409782,425.2392731472841,341.19240445684557,662.7949286810947,-0.004831963540455018
0.591777413489017,324.331531383442,338.12344146563106,656.5250368084128,-0.010258788108679565
0.12237717997995257,6.042023672320468,309.49518586048913,592.5220799605465,-0.011870500478349616
0.8506130260322036,279.5881643430225,311.1526495089903,685.9662039553856,-0.015204199589011008
0.7411663763837572,213.1292652084971,329.7575762339217,631.2221753425966,-0.01555239293865407
0.817278633510943,161.43391335157045,323.0328267715739,560.4810122443384,-0.01615966571809324
0.985290536096128,278.60381232182885,312.50505749672686,646.8567343754918,-0.016951646193836076
0.33170761851036346,360.35706057354867,368.9161766539036,625.1786703886625,-0.017800726178723053
0.4943403026572516,78.72016830361946,308.17166134107566,587.0474683367692,-0.01916661643904131
0.5970649878235973,128.1259347480657,368.01957288470186,610.7525424682065,-0.02255112320890884
0.5531775075357322,42.477127811868336,318.9030586937108,627.0781559355465,-0.022759355041702897
